Date,Sport,Event,Time,Additional details,Location,Closest Metro,LEFT,Start time,RIGHT,End time
August 5,Badminton,Singles medal finals - men's,1430-1730,,Stade Pierre de Coubertin,Porte de Vincennes (Metro 1),1430,14:30,1730,17:30
August 5,Athletics,400m hurdles round 1 - Men's,1005,,Stade de France,Stade de France - Saint-Denis (RER D),1005,10:05,1005,10:05
August 5,Athletics,Discus throw qualification A - Men's,1010,,Stade de France,Stade de France - Saint-Denis (RER D),1010,10:10,1010,10:10
August 5,Athletics,Pole vault qualification - Women's,1040,,Stade de France,Stade de France - Saint-Denis (RER D),1040,10:40,1040,10:40
August 5,Athletics,400m hurdles repechage - Women's,1050,,Stade de France,Stade de France - Saint-Denis (RER D),1050,10:50,1050,10:50
August 5,Athletics,400m repechage - Men's,1120,,Stade de France,Stade de France - Saint-Denis (RER D),1120,11:20,1120,11:20
August 5,Athletics,Discus throw qualification B - Men's,1135,,Stade de France,Stade de France - Saint-Denis (RER D),1135,11:35,1135,11:35
August 5,Athletics,400m round 1 - Women's,1155,,Stade de France,Stade de France - Saint-Denis (RER D),1155,11:55,1155,11:55
August 5,Athletics,200m repechage - Women's,1250,,Stade de France,Stade de France - Saint-Denis (RER D),1250,12:50,1250,12:50
August 5,Athletics,Pole Vault Final - Men's,1900,,Stade de France,Stade de France - Saint-Denis (RER D),1900,19:00,1900,19:00
August 5,Athletics,3000m steeplechase round 1 - Men's,1904,,Stade de France,Stade de France - Saint-Denis (RER D),1904,19:04,1904,19:04
August 5,Athletics,200m round 1 - Men's,1955,,Stade de France,Stade de France - Saint-Denis (RER D),1955,19:55,1955,19:55
August 5,Athletics,Discus throw final - Women's,2035,,Stade de France,Stade de France - Saint-Denis (RER D),2035,20:35,2035,20:35
August 5,Athletics,200m semis - Women's,2045,,Stade de France,Stade de France - Saint-Denis (RER D),2045,20:45,2045,20:45
August 5,Athletics,5000m final - Women's,2110,,Stade de France,Stade de France - Saint-Denis (RER D),2110,21:10,2110,21:10
August 5,Athletics,800m final - Women's,2145,,Stade de France,Stade de France - Saint-Denis (RER D),2145,21:45,2145,21:45
